Text1,Text2,label
"The eight petrol variants S, S AMT, SX, SX(O), SX+AMT, SX+Turbo, S CNG has also received a hike of Rs 4,000. They have now priced at Rs 6.72 lakh, Rs 7.22 lakh, Rs 7.41 lakh, Rs 7.97 lakh, Rs 8.16 lakh, Rs 8.70 lakh, Rs 7.48 lakh respectively.","The eight petrol variants—S, S AMT, SX, SX(O), SX+ AMT, SX+ Turbo, and S CNG—have also received a price increase of Rs 4,000. These variants are now priced at Rs 6.72 lakh, Rs 7.22 lakh, Rs 7.41 lakh, Rs 7.97 lakh, Rs 8.16 lakh, Rs 8.70 lakh, and Rs 7.48 lakh respectively.",1
"The eight petrol variants S, S AMT, SX, SX(O), SX+AMT, SX+Turbo, S CNG has also received a hike of Rs 4,000. They have now priced at Rs 6.72 lakh, Rs 7.22 lakh, Rs 7.41 lakh, Rs 7.97 lakh, Rs 8.16 lakh, Rs 8.70 lakh, Rs 7.48 lakh respectively.","Hyundai has revised the prices of its petrol-powered variants by increasing them by Rs 4,000. The affected trims include S, S AMT, SX, SX(O), SX+ AMT, SX+ Turbo, and S CNG. Following the update, the prices range from Rs 6.72 lakh to Rs 8.70 lakh, depending on the variant.",1
"The eight petrol variants S, S AMT, SX, SX(O), SX+AMT, SX+Turbo, S CNG has also received a hike of Rs 4,000. They have now priced at Rs 6.72 lakh, Rs 7.22 lakh, Rs 7.41 lakh, Rs 7.97 lakh, Rs 8.16 lakh, Rs 8.70 lakh, Rs 7.48 lakh respectively.","As part of a broader price adjustment, several petrol variants in the lineup have seen a marginal increase in cost. The revised pricing impacts multiple trim levels, reflecting standard market-driven updates, while maintaining a wide range of options for customers across different budget segments.",0
"Indian market is expecting a new D-Max V-Cross soon. Meanwhile, the brochure regarding its specifications has been leaked online. It has features, specifications, colors, and other information.","The Indian market is expected to receive a new D-Max V-Cross in the near future. In the meantime, a brochure detailing its specifications has been leaked online. The document reveals information related to its features, specifications, color options, and other details.",1
"Indian market is expecting a new D-Max V-Cross soon. Meanwhile, the brochure regarding its specifications has been leaked online. It has features, specifications, colors, and other information.","A new D-Max V-Cross is anticipated for launch in the Indian market, and ahead of its official debut, its specification brochure has surfaced online. The leaked material provides insights into the vehicle’s features, technical specifications, available colors, and additional information.",1
"Indian market is expecting a new D-Max V-Cross soon. Meanwhile, the brochure regarding its specifications has been leaked online. It has features, specifications, colors, and other information.","Ahead of its official launch in India, details of an upcoming pickup truck have emerged through unofficial sources. Information circulating online offers an overview of the vehicle’s design, equipment, and configuration options, giving potential buyers an early look at what to expect from the model.",0
Earlier in April 2021 – Isuzu Motors has revealed teaser images of the new V-Cross and hinted about its launch in India very soon. It will meet the stringent BS6 emission norms.,"Earlier in April 2021, Isuzu Motors revealed teaser images of the new V-Cross and indicated that it would be launched in the Indian market soon. The upcoming model will also comply with the strict BS6 emission norms.",1
Earlier in April 2021 – Isuzu Motors has revealed teaser images of the new V-Cross and hinted about its launch in India very soon. It will meet the stringent BS6 emission norms.,"In April 2021, Isuzu Motors released teaser images of its upcoming V-Cross, suggesting that the vehicle would be introduced in India in the near future. The model is expected to meet the latest BS6 emission standards.",1
Earlier in April 2021 – Isuzu Motors has revealed teaser images of the new V-Cross and hinted about its launch in India very soon. It will meet the stringent BS6 emission norms.,"Isuzu has begun building anticipation for its next pickup truck by sharing preview images earlier in 2021. The company has confirmed that the upcoming model will be engineered to comply with current emission regulations, signaling readiness for the Indian market launch.",0
"New V-Cross has two model line up – 2WD and 4WD i.e, two variants two-wheel-drive Z Prestige and 4-wheel-drive Z Prestige. The overall change is only associated with the new engine. ","The new V-Cross comes with two model options, including 2WD and 4WD variants, namely the two-wheel-drive Z Prestige and the four-wheel-drive Z Prestige. The only major update in the lineup is related to the introduction of a new engine.",1
"New V-Cross has two model line up – 2WD and 4WD i.e, two variants two-wheel-drive Z Prestige and 4-wheel-drive Z Prestige. The overall change is only associated with the new engine. ","The updated V-Cross is offered in two variants: a 2WD Z Prestige and a 4WD Z Prestige. Apart from these drivetrain options, the primary change in the new model is limited to the engine update.",1
"New V-Cross has two model line up – 2WD and 4WD i.e, two variants two-wheel-drive Z Prestige and 4-wheel-drive Z Prestige. The overall change is only associated with the new engine. ","The latest iteration of the V-Cross focuses on a simplified variant structure with two drivetrain choices aimed at different usage needs. While customers can select between rear-wheel and four-wheel drive configurations, the update itself concentrates mainly on mechanical improvements rather than cosmetic or feature changes.",0
"Other prominent features include LED tail lamps, Bi-LED projector headlamps, fog lamps, roof rails, 18-inch alloy wheels, B-pillar black-out film, LED DRLs, an electrically adjustable driver seat, a 7-inch infotainment system, roof-mounted 8-speaker audio system, automatic AC, anti-pinch auto power windows, shift-on-fly 4WD mode, and steering mounted controls. Safety has been taken care of with features like six airbags, ESC, Hill Descent Control, Hill Start Assist, rear parking sensors, rear parking camera, electronic stability control, traction control and many more.","Other notable features of the vehicle include LED tail lamps, Bi-LED projector headlamps, fog lamps, roof rails, 18-inch alloy wheels, B-pillar black-out film, LED DRLs, an electrically adjustable driver seat, a 7-inch infotainment system, roof-mounted 8-speaker audio system, automatic AC, anti-pinch auto power windows, shift-on-fly 4WD mode, and steering-mounted controls. Safety is ensured with six airbags, ESC, Hill Descent Control, Hill Start Assist, rear parking sensors, rear parking camera, electronic stability control, traction control, and more.",1
"Other prominent features include LED tail lamps, Bi-LED projector headlamps, fog lamps, roof rails, 18-inch alloy wheels, B-pillar black-out film, LED DRLs, an electrically adjustable driver seat, a 7-inch infotainment system, roof-mounted 8-speaker audio system, automatic AC, anti-pinch auto power windows, shift-on-fly 4WD mode, and steering mounted controls. Safety has been taken care of with features like six airbags, ESC, Hill Descent Control, Hill Start Assist, rear parking sensors, rear parking camera, electronic stability control, traction control and many more.","Key features of the car include Bi-LED projector headlamps, LED tail lamps, fog lights, roof rails, 18-inch alloys, blacked-out B-pillars, LED DRLs, a power-adjustable driver seat, a 7-inch infotainment display, an 8-speaker roof-mounted audio system, automatic climate control, anti-pinch windows, shift-on-fly 4WD, and steering-mounted controls. Safety equipment includes six airbags, ESC, Hill Descent and Hill Start Assist, rear parking camera and sensors, traction control, and electronic stability support.",1
"Other prominent features include LED tail lamps, Bi-LED projector headlamps, fog lamps, roof rails, 18-inch alloy wheels, B-pillar black-out film, LED DRLs, an electrically adjustable driver seat, a 7-inch infotainment system, roof-mounted 8-speaker audio system, automatic AC, anti-pinch auto power windows, shift-on-fly 4WD mode, and steering mounted controls. Safety has been taken care of with features like six airbags, ESC, Hill Descent Control, Hill Start Assist, rear parking sensors, rear parking camera, electronic stability control, traction control and many more.","The vehicle comes equipped with a wide range of convenience, comfort, and safety features. These include advanced lighting, alloy wheels, power-adjustable seating, a touchscreen infotainment system, and a premium audio setup. Driving support features such as 4WD mode, automatic climate control, and steering-mounted controls enhance usability. Safety has been prioritized through multiple airbags, stability control systems, traction management, hill-assist functions, and parking aids, ensuring a secure driving experience.",0
The much-awaited second-generation GLA is expected to be launched in India by mid-May with the tentative price tag of Rs 42.90 lakh. It has been revealed earlier in 2019 in India at Auto Expo. ,"The highly anticipated second-generation GLA is expected to launch in India by mid-May, with a tentative price of Rs 42.90 lakh. It was previously showcased in India at the 2019 Auto Expo.",1
The much-awaited second-generation GLA is expected to be launched in India by mid-May with the tentative price tag of Rs 42.90 lakh. It has been revealed earlier in 2019 in India at Auto Expo. ,"The second-generation GLA, which has been eagerly awaited, is scheduled for a mid-May launch in India with an estimated price of Rs 42.90 lakh. The model was initially unveiled in India during the 2019 Auto Expo.",1
The much-awaited second-generation GLA is expected to be launched in India by mid-May with the tentative price tag of Rs 42.90 lakh. It has been revealed earlier in 2019 in India at Auto Expo. ,"Mercedes-Benz plans to introduce the next-generation GLA in India around mid-May, priced approximately at Rs 42.90 lakh. The vehicle was first presented at the 2019 Auto Expo, offering early insights into its design and features for the Indian market.",0
The front has got larger headlamps and grille. The bonnet has got crease lines to give the car a muscular look which flows back to the single slat grille.,"The front of the car features larger headlamps and a prominent grille. The bonnet has crease lines to give a muscular appearance, which continues into the single slat grille. The car’s aesthetics are enhanced with new LED headlamps. At the rear, the profile has been updated with sleeker split LED tail lamps and a redesigned bumper.",1
The front has got larger headlamps and grille. The bonnet has got crease lines to give the car a muscular look which flows back to the single slat grille.,"The vehicle’s front end now includes bigger headlamps and a redesigned grille, while crease lines on the bonnet provide a stronger, muscular look flowing into the single slat grille. LED headlamps contribute to the overall styling. The rear has been refreshed with slimmer split LED tail lights and an updated bumper design.",1
The front has got larger headlamps and grille. The bonnet has got crease lines to give the car a muscular look which flows back to the single slat grille.,"Design updates focus on enhancing both style and presence. The front receives larger lighting elements and a sculpted bonnet for a bold appearance, complemented by LED headlamps. The rear has been refined with sharper split tail lamps and a reworked bumper, giving the car a modern and cohesive look from all angles.",0
The enthusiasts have expected the new GLA to carry a  2.0-litre diesel engine and the 1.3-litre turbo-petrol mild-hybrid powertrain. The expected price for the new GLA is Rs 42.90 lakh. ,Enthusiasts expect the new GLA to be offered with a 2.0-litre diesel engine and a 1.3-litre turbo-petrol mild-hybrid powertrain. The anticipated price of the vehicle is Rs 42.90 lakh.,1
The enthusiasts have expected the new GLA to carry a  2.0-litre diesel engine and the 1.3-litre turbo-petrol mild-hybrid powertrain. The expected price for the new GLA is Rs 42.90 lakh. ,The new GLA is rumored to feature a 2.0-litre diesel unit along with a 1.3-litre turbo-petrol mild-hybrid setup. Its estimated price is around Rs 42.90 lakh.,1
The enthusiasts have expected the new GLA to carry a  2.0-litre diesel engine and the 1.3-litre turbo-petrol mild-hybrid powertrain. The expected price for the new GLA is Rs 42.90 lakh. ,"The upcoming GLA is expected to offer both diesel and petrol powertrain options, including a 2.0-litre diesel and a 1.3-litre turbo-petrol mild-hybrid system. The model is likely to be priced close to Rs 42.90 lakh in India.",0
"After months of speculations, the new 2022 GMC Hummer EV is all set to be launched in its electric avatar this time. Originally known for its active role in American movies and as a military vehicle, it had undergone many updates till 2010 to come up with new bits both on designing and mechanical aspects. However, it was discontinued in 2010.","After months of speculation, the 2022 GMC Hummer EV is finally set to launch in its electric version. Originally famous for its appearances in American films and as a military vehicle, the Hummer underwent several updates until 2010, including design and mechanical changes. It was discontinued in 2010.",1
"After months of speculations, the new 2022 GMC Hummer EV is all set to be launched in its electric avatar this time. Originally known for its active role in American movies and as a military vehicle, it had undergone many updates till 2010 to come up with new bits both on designing and mechanical aspects. However, it was discontinued in 2010.","The new 2022 GMC Hummer EV is expected to make a comeback in an electric avatar after months of rumors. The Hummer, widely known for its role in American movies and as a military vehicle, had received multiple design and mechanical updates until it was discontinued in 2010.",1
"After months of speculations, the new 2022 GMC Hummer EV is all set to be launched in its electric avatar this time. Originally known for its active role in American movies and as a military vehicle, it had undergone many updates till 2010 to come up with new bits both on designing and mechanical aspects. However, it was discontinued in 2010.","Following months of anticipation, GMC is preparing to reintroduce the Hummer as a fully electric vehicle in 2022. The model, historically recognized for its use in films and military applications, had evolved through several updates before being discontinued in 2010, marking a significant relaunch in its electric form.",0
"Now GMC has come up with an electric super truck as a new Hummer brand. With its launch, it has been anticipated as a great push to the electric vehicle market as a combination of technology, speed, and flexibility.","GMC has introduced an electric super truck under the Hummer brand. With its launch, it is expected to provide a significant boost to the electric vehicle market, combining advanced technology, high speed, and flexibility.",1
"Now GMC has come up with an electric super truck as a new Hummer brand. With its launch, it has been anticipated as a great push to the electric vehicle market as a combination of technology, speed, and flexibility.","The new Hummer from GMC is an electric super truck that aims to make a strong impact on the EV market. Its launch is seen as a blend of cutting-edge technology, performance, and versatility.",1
"Now GMC has come up with an electric super truck as a new Hummer brand. With its launch, it has been anticipated as a great push to the electric vehicle market as a combination of technology, speed, and flexibility.","GMC’s latest offering, an all-electric truck under the Hummer brand, is designed to strengthen the presence of EVs in the market. The vehicle emphasizes a balance of modern technology, agility, and practical utility, positioning it as a notable entry in the electric truck segment.",0
"Earlier in 2020, “General Motors” GM already unveiled the GMC with an electric pickup truck name tag but now has been introduced as SUV version of an electric truck which is assumed to hit the street by 2023.","Earlier in 2020, General Motors (GM) had unveiled the GMC as an electric pickup truck. Now, it has been introduced as an SUV version of the electric truck, which is expected to be launched by 2023.",1
"Earlier in 2020, “General Motors” GM already unveiled the GMC with an electric pickup truck name tag but now has been introduced as SUV version of an electric truck which is assumed to hit the street by 2023.","In 2020, GM revealed an electric pickup truck under the GMC brand. The vehicle has now been presented as an SUV variant of the electric truck, with a planned launch anticipated in 2023.",1
"Earlier in 2020, “General Motors” GM already unveiled the GMC with an electric pickup truck name tag but now has been introduced as SUV version of an electric truck which is assumed to hit the street by 2023.","General Motors initially showcased an electric pickup under the GMC brand in 2020. The company is now preparing an SUV variant of this electric truck, which is projected to enter the market around 2023, expanding its electric vehicle lineup.",0
"Except for the entry-level GMC EV, the least expensive trim level is powered with a 400V 16-module battery system with a claimed range of over 400km. The 3-motor setup with an 800V 20-module battery system offers maximum power delivery of 830PS and 15,592Nm of peak torque. It has a claimed range of over 480km and offers up to 300kW of fast charging.","Except for the entry-level GMC EV, the least expensive trim comes with a 400V 16-module battery system, offering a claimed range of over 400 km. The 3-motor variant uses an 800V 20-module battery system, delivering a maximum power of 830 PS and peak torque of 15,592 Nm. It has a claimed range exceeding 480 km and supports fast charging of up to 300 kW.",1
"Except for the entry-level GMC EV, the least expensive trim level is powered with a 400V 16-module battery system with a claimed range of over 400km. The 3-motor setup with an 800V 20-module battery system offers maximum power delivery of 830PS and 15,592Nm of peak torque. It has a claimed range of over 480km and offers up to 300kW of fast charging.","Apart from the base GMC EV, the more affordable trim is equipped with a 400V 16-module battery, providing a range above 400 km. The top 3-motor configuration features an 800V 20-module battery system, producing 830 PS of power and 15,592 Nm of torque. Its range is reported to exceed 480 km and it supports fast charging up to 300 kW.",1
"Except for the entry-level GMC EV, the least expensive trim level is powered with a 400V 16-module battery system with a claimed range of over 400km. The 3-motor setup with an 800V 20-module battery system offers maximum power delivery of 830PS and 15,592Nm of peak torque. It has a claimed range of over 480km and offers up to 300kW of fast charging.","With the exception of the entry-level GMC EV, the higher trims offer advanced battery configurations. The basic model uses a 400V battery system capable of covering around 400 km, while the premium 3-motor version integrates an 800V setup, delivering high power and torque figures. The top variant also supports fast charging up to 300 kW and a range exceeding 480 km, emphasizing performance and efficiency.",0
"A Tracer Box Model In scientific practice, one often has observations of elements of the solution of the di erential system or other model. Such situations vary enormously in the complexity and sophistication of both the data and the model. A useful and interesting example of a simple system, with applications in many fields, is one in which there is a large reservoir (Figure 1.2) connected to a number of source regions which provide fluid to the reservoir. One would like to determine the agetracerfig} rate of mass transfer from each source region to the reservoir.","In scientific practice, researchers often observe elements of the solution of a differential system or another model. The complexity of both the data and the model can vary greatly. A simple and interesting example involves a large reservoir (Figure 1.2) connected to several source regions that supply fluid to it. The goal is to determine the rate of mass transfer from each source region to the reservoir.",1
"A Tracer Box Model In scientific practice, one often has observations of elements of the solution of the di erential system or other model. Such situations vary enormously in the complexity and sophistication of both the data and the model. A useful and interesting example of a simple system, with applications in many fields, is one in which there is a large reservoir (Figure 1.2) connected to a number of source regions which provide fluid to the reservoir. One would like to determine the agetracerfig} rate of mass transfer from each source region to the reservoir.",Scientific studies frequently involve observations of components of the solution of a differential system or similar models. These situations can differ widely in complexity and data sophistication. One illustrative case is a large reservoir linked to multiple source regions providing fluid input. The objective is to estimate the mass transfer rate from each source region to the reservoir.,1
"A Tracer Box Model In scientific practice, one often has observations of elements of the solution of the di erential system or other model. Such situations vary enormously in the complexity and sophistication of both the data and the model. A useful and interesting example of a simple system, with applications in many fields, is one in which there is a large reservoir (Figure 1.2) connected to a number of source regions which provide fluid to the reservoir. One would like to determine the agetracerfig} rate of mass transfer from each source region to the reservoir.","In research applications, it is common to measure aspects of solutions from differential equations or related models, which can range from simple to highly complex. A typical example is a reservoir system connected to various source areas supplying fluid. The primary task in such a system is to calculate how much mass flows from each source into the reservoir over time.",0
"A simple reservoir problem in which there are multiple sources of flow, at rates Ml0> each carrying an identifiable property Fl, perhaps a chemical concentration. In the forward problem, given Ml0>Fl one could calculate F0= Oneformof inverseproblem provides F0 and the Fl and seeks the values of Ml0=","A simple reservoir problem involves multiple sources of flow, each with a rate Ml0M_{l0}Ml0? and carrying a measurable property FlF_lFl?, such as a chemical concentration. In the forward problem, knowing Ml0M_{l0}Ml0? and FlF_lFl? allows calculation of F0F_0F0?. One type of inverse problem, however, provides F0F_0F0? and FlF_lFl? and seeks to determine the values of Ml0M_{l0}Ml0?.",1
"A simple reservoir problem in which there are multiple sources of flow, at rates Ml0> each carrying an identifiable property Fl, perhaps a chemical concentration. In the forward problem, given Ml0>Fl one could calculate F0= Oneformof inverseproblem provides F0 and the Fl and seeks the values of Ml0=","n a basic reservoir scenario, there are several flow sources, each with a flow rate Ml0M_{l0}Ml0? and an associated property FlF_lFl? (e.g., concentration). The forward problem uses Ml0M_{l0}Ml0? and FlF_lFl? to compute F0F_0F0?. Conversely, an inverse problem starts with F0F_0F0? and FlF_lFl? and aims to find the corresponding Ml0M_{l0}Ml0? values.",1
"A simple reservoir problem in which there are multiple sources of flow, at rates Ml0> each carrying an identifiable property Fl, perhaps a chemical concentration. In the forward problem, given Ml0>Fl one could calculate F0= Oneformof inverseproblem provides F0 and the Fl and seeks the values of Ml0=","Consider a reservoir receiving fluid from multiple sources, each characterized by a specific flow rate and property, such as a chemical concentration. In the forward analysis, these flow rates and properties are used to predict the resulting property in the reservoir. In contrast, the inverse problem uses observed reservoir properties to estimate the original flow rates from each source.",0
"A Tomographic Problem So-called tomographic problems occur in many fields, most notably in medicine, but also in materials testing, oceanography, meteorology and geophysics. Generically, they arise when one is faced with the problem of inferring the distribution of properties inside an area or volume based upon a series of integrals through the region.","Tomographic problems appear in many areas, particularly in medicine, but also in materials testing, oceanography, meteorology, and geophysics. They typically arise when it is necessary to infer the distribution of properties inside a region based on a series of integrals taken through that area or volume.",1
"A Tomographic Problem So-called tomographic problems occur in many fields, most notably in medicine, but also in materials testing, oceanography, meteorology and geophysics. Generically, they arise when one is faced with the problem of inferring the distribution of properties inside an area or volume based upon a series of integrals through the region.","So-called tomographic problems are encountered across various fields, including medical imaging, materials testing, oceanography, meteorology, and geophysics. These problems generally involve determining the internal distribution of properties in a given area or volume using multiple integrals measured through the region.",1
"A Tomographic Problem So-called tomographic problems occur in many fields, most notably in medicine, but also in materials testing, oceanography, meteorology and geophysics. Generically, they arise when one is faced with the problem of inferring the distribution of properties inside an area or volume based upon a series of integrals through the region.","Tomography is applied in numerous disciplines, from healthcare to earth sciences, whenever there is a need to estimate how properties are distributed within a space. The process relies on data collected along multiple paths through the region to reconstruct an internal map of the property distribution.",0
"Simplified geometry for defining a tomographic problem. Some squares may have no integrals passing through them; others may be multiply-covered. Boxes outside the physical body can be handled in a number of ways, including the addition of constraints setting the corresponding fm =0=","A simplified geometry can be used to define a tomographic problem. Some squares may not have any integrals passing through them, while others may be covered multiple times. Boxes outside the physical body can be addressed in various ways, including adding constraints that set the corresponding fm=0f_m = 0fm?=0.",1
"Simplified geometry for defining a tomographic problem. Some squares may have no integrals passing through them; others may be multiply-covered. Boxes outside the physical body can be handled in a number of ways, including the addition of constraints setting the corresponding fm =0=","In a simplified tomographic setup, certain squares may receive no integrals, whereas others may be intersected multiple times. Regions outside the actual body can be treated using different approaches, such as imposing constraints that assign a value of zero to the respective fmf_mfm?.",1
"Simplified geometry for defining a tomographic problem. Some squares may have no integrals passing through them; others may be multiply-covered. Boxes outside the physical body can be handled in a number of ways, including the addition of constraints setting the corresponding fm =0=","For defining a tomographic problem, the geometry is often simplified into a grid. Some cells may not be traversed by any measurement paths, while others may be covered repeatedly. Areas beyond the physical object can be managed by applying constraints, such as setting their associated property values to zero.",0
